detail_id,transaction_id,item_id,quantity,payment_date,customer_id
0,T0000000113,S005,1,2019-02-01 01:36:57,PL563502
1,T0000000114,S001,1,2019-02-01 01:37:23,HD678019
2,T0000000115,S003,1,2019-02-01 02:34:19,HD298120
3,T0000000116,S005,1,2019-02-01 02:47:23,IK452215
4,T0000000117,S002,2,2019-02-01 04:33:46,PL542865
5,T0000000118,S003,1,2019-02-01 04:36:50,GD372798
6,T0000000119,S004,1,2019-02-01 05:25:18,IK782104
7,T0000000120,S001,1,2019-02-01 06:22:39,IK624245
8,T0000000121,S005,1,2019-02-01 06:40:14,HD218970
9,T0000000122,S002,1,2019-02-01 08:10:23,AS912483
10,T0000000123,S001,1,2019-02-01 09:32:27,OA336650
11,T0000000124,S003,1,2019-02-01 11:27:33,OA207651
12,T0000000125,S004,1,2019-02-01 13:14:47,TS419694
13,T0000000126,S002,2,2019-02-01 13:46:10,HD068817
14,T0000000127,S002,1,2019-02-01 14:14:13,OA041301
15,T0000000128,S005,1,2019-02-01 17:20:02,IK234815
16,T0000000129,S001,1,2019-02-01 18:08:59,TS146087
17,T0000000130,S005,1,2019-02-01 19:44:40,AS614406
18,T0000000131,S002,1,2019-02-01 20:00:24,PL964421
19,T0000000132,S004,1,2019-02-01 20:36:30,AS642796
20,T0000000133,S005,1,2019-02-01 20:51:11,GD648354
21,T0000000134,S001,3,2019-02-01 22:08:51,TS701801
22,T0000000135,S001,2,2019-02-01 22:37:32,GD362521
23,T0000000136,S003,1,2019-02-01 23:18:16,OA041099
24,T0000000137,S005,1,2019-02-01 23:35:49,GD029189
25,T0000000138,S001,1,2019-02-01 23:40:34,GD241254
26,T0000000139,S001,2,2019-02-02 00:10:42,AS220894
27,T0000000140,S001,3,2019-02-02 00:17:54,IK548249
28,T0000000141,S005,1,2019-02-02 00:18:02,HI830026
29,T0000000142,S001,2,2019-02-02 00:18:38,IK429683
30,T0000000143,S002,1,2019-02-02 01:25:28,GD903830
31,T0000000144,S002,1,2019-02-02 01:40:33,AS265381
32,T0000000145,S002,1,2019-02-02 04:14:12,IK548249
33,T0000000146,S003,1,2019-02-02 04:14:22,OA959837
34,T0000000147,S001,1,2019-02-02 04:24:40,HI527630
35,T0000000148,S002,1,2019-02-02 05:07:31,GD843424
36,T0000000149,S001,2,2019-02-02 06:06:04,AS220894
37,T0000000150,S004,1,2019-02-02 06:34:29,AS015315
38,T0000000151,S001,1,2019-02-02 10:04:18,OA239766
39,T0000000152,S005,1,2019-02-02 10:52:39,HD471103
40,T0000000153,S003,1,2019-02-02 11:27:59,PL020585
